genus,species,authority,exposition,plant_maturity,leaf_age,site,site_code,site_type,island,latitude_degree,longitude_degree,elevation_m_site,elevation_m_plant,date_sampled,plant_id,leaf_id,lower_number_of_stomata,upper_number_of_stomata,lower_stomatal_density_mm2,upper_stomatal_density_mm2,lower_gcl_um,upper_gcl_um,leaf_thickness_um,Tleaf,A,gsw
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i1,l1,353,0,396.7620173089397,0,16.5120485078125,NA,229.17457521963217,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i1,l2,252,0,283.2408735463252,0,15.797712710937502,NA,229.17457521963217,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i1,l3,472,51,530.5146520391488,57.322557741518196,13.3071101171875,20.7797688046875,229.17457521963217,28.0115,32.8734456123625,0.3487035962715497
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i2,l2,283,0,318.0839968794049,0,17.258931468750003,NA,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i3,l1,274,4,307.9682513956076,4.495886881687702,16.928992570312502,18.316554755859375,209.92317628547025,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i3,l3,237,10,266.38129773999634,11.239717204219254,14.4690226015625,19.498303992187502,209.92317628547025,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i4,l1,340,4,382.15038494345464,4.495886881687702,14.81172509375,25.183368193359374,310.01740351423564,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i4,l2,346,61,388.8942152659862,68.56227494573746,15.3041870859375,21.837445273437503,310.01740351423564,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i5,l1,360,23,404.62981935189316,25.851349569704286,17.339342109375004,20.9986644375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i5,l2,287,0,322.5798837610926,0,21.3664686640625,NA,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i6,l1,480,19,539.5064258025242,21.355462688016583,15.145918523437501,22.2267348828125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i6,l2,499,13,560.8618884905408,14.61163236548503,13.9503952421875,25.4031679140625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i7,l1,442,0,496.79550042649106,0,13.9661370078125,NA,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i7,l2,483,4,542.87834096379,4.495886881687702,14.1877980859375,22.441854619140624,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i8,l1,389,95,437.224999244129,106.77731344008292,17.32360034375,26.4323390234375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i8,l2,391,63,439.47294268497285,70.8102183865813,16.159347867187503,21.011853484375003,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,14.0208,2022-08-19,i1,l1,114,42,128.1327761280995,47.20681225772087,14.712169062500001,19.9088662578125,184.82295969124885,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,14.0208,2022-08-19,i1,l2,175,62,196.69505107383696,69.68624666615938,13.48260953125,23.396092796875003,184.82295969124885,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,10.0584,2022-08-19,i3,l1,310,10,348.4312333307969,11.239717204219254,12.4927928359375,26.30406490625,198.06372444654346,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,7.9248,2022-08-19,i4,l1,279,58,313.5881099977172,65.19035978447168,14.3069249609375,21.142893046875002,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,7.9248,2022-08-19,i4,l2,367,54,412.49762139484665,60.69447290278397,13.5772728515625,20.500458828125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,10.0584,2022-08-19,i5,l1,268,36,301.22442107307603,40.46298193518932,13.775534007812501,20.0045932109375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,9.144,2022-08-19,i7,l1,302,70,339.43945956742147,78.67802042953478,13.335190023437502,16.348036328124998,199.71277159922738,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,9.144,2022-08-19,i7,l2,262,42,294.4805907505445,47.20681225772087,12.9237768515625,15.756656484375,199.71277159922738,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,9.144,2022-08-19,i8,l1,298,61,334.9435726857338,68.56227494573746,12.060319734375,20.4019664296875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,9.144,2022-08-19,i8,l2,358,80,402.3818759110493,89.91773763375403,13.272435687500002,21.211816453125003,NA,28.0187,17.853347137560018,0.13371402174815028
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,3.048,2022-08-20,i1,l1,314,78,352.92712021248457,87.66979419291019,18.766099164062503,25.887971750000002,187.6636693484777,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,3.048,2022-08-20,i1,l2,463,142,520.3989065553515,159.6039842999134,14.5017824921875,24.453769265625,187.6636693484777,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,3.048,2022-08-20,i2,l1,289,93,324.82782720193643,104.52936999923907,17.8632876328125,22.141006078125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,3.048,2022-08-20,i2,l2,462,109,519.2749348349296,122.51291752598988,12.0082017265625,23.32589303125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,4.2672,2022-08-20,i3,l1,393,41,441.7208861258167,46.08284053729894,12.785717312500001,21.9448721875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,4.2672,2022-08-20,i3,l2,435,44,488.9276983835376,49.45475569856472,12.271131757812501,17.289564093750002,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,6.096,2022-08-20,i4,l1,360,128,404.62981935189316,143.86838021400646,15.230158242187501,17.9047693125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,6.096,2022-08-20,i4,l2,461,129,518.1509631145076,144.99235193442837,13.2071286328125,13.415813390625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,6.096,2022-08-20,i5,l1,414,76,465.3242922546771,85.42185075206633,13.3509317890625,21.49304096875,185.21060104117367,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,6.096,2022-08-20,i5,l2,527,113,592.3330966623547,127.00880440767757,13.393477101562501,18.0272998125,185.21060104117367,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,7.0104,2022-08-20,i6,l1,403,99,452.96060333003595,111.27320032177062,12.1039286796875,20.200514375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,7.0104,2022-08-20,i6,l2,427,45,479.93592462016215,50.578727418986645,13.24265396875,17.218513421875002,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,8.2296,2022-08-20,i7,l1,260,59,292.2326473097006,66.3143315048936,14.8110869140625,21.379870437500003,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,8.2296,2022-08-20,i7,l2,274,57,307.9682513956076,64.06638806404975,17.2442533359375,22.21971490625,NA,28.1484,17.397879244771712,0.12328093536237085
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,9.144,2022-08-20,i8,l1,71,14,79.8019921499567,15.735604085906957,18.0785669140625,16.9791960390625,195.9378450859757,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,9.144,2022-08-20,i8,l2,326,87,366.41478085754767,97.78553967670751,16.85219828125,21.163314796875,195.9378450859757,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i1,l1,428,97,481.0598963405841,109.02525688092676,17.322323984375,22.061020890625,388.67446642772506,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i1,l2,377,168,423.7373385990659,188.82724903088348,16.525450281250002,19.972046046875,388.67446642772506,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i2,l1,462,117,519.2749348349296,131.50469128936527,15.647527757812501,18.6110215,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i2,l2,355,144,399.00996074978354,161.85192774075728,16.3656926328125,20.676383695312502,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i3,l1,380,83,427.1092537603317,93.2896527950198,16.1027626015625,22.6606970703125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i3,l2,370,118,415.8695365561124,132.6286630097872,15.4343757421875,25.553140140625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i4,l1,287,94,322.5798837610926,105.65334171966099,14.451153570312501,22.341607226562502,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i4,l2,516,60,579.9694077377135,67.43830322531552,15.017218953125,20.2190215859375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i5,l1,257,64,288.86073214843486,71.93419010700323,14.4260518359375,24.555027109375,388.02813223635917,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i5,l2,351,91,394.5140738680958,102.28142655839521,18.887140578125,27.32515240625,388.02813223635917,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i6,l1,267,90,300.1004493526541,101.15745483797329,14.097389296875,23.0640266328125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i6,l2,286,118,321.4559120406707,132.6286630097872,17.238935171875,19.547018375,NA,28.2476,31.28274512034054,0.31372424904406343
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i7,l2,259,92,291.1086755892787,103.40539827881715,14.322028546875,22.373303484375,421.91866378790905,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko beach,klkb,coastal,oahu,21.293,-157.66063,3.9624,3.9624,2022-08-28,i8,l1,422,62,474.31606601805254,69.68624666615938,15.425441226562501,30.380331296875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i1,l1,320,13,359.6709505350161,14.61163236548503,16.100848062500003,22.39670340625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i1,l2,290,8,325.95179892235836,8.991773763375404,15.917052312500001,30.7085683828125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i2,l1,203,11,228.16625924565085,12.36368892464118,21.107154984375,27.0262715859375,161.36937165406826,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i2,l2,355,9,399.00996074978354,10.11574548379733,15.783247304687501,21.61727328125,161.36937165406826,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i3,l1,251,14,282.11690182590326,15.735604085906957,16.6528734921875,23.688804546875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i3,l2,302,9,339.43945956742147,10.11574548379733,13.272222960937501,17.586104921875002,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i4,l1,157,7,176.46356010624228,7.867802042953478,20.6895727421875,21.6425877421875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i4,l2,196,0,220.2984572026974,0,15.837067125,NA,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i5,l1,242,8,272.00115634210596,8.991773763375404,18.2025865,18.4542420234375,137.9534929294152,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i5,l2,108,6,121.38894580556794,6.743830322531553,18.906711421875002,24.351660515625,137.9534929294152,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i6,l2,465,4,522.6468499961953,4.495886881687702,15.798776343750001,22.378568466796875,148.90062756783604,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i7,l1,284,7,319.2079685998268,7.867802042953478,14.350108453125001,22.8057765859375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i7,l2,177,1,198.9429945146808,1.1239717204219255,13.614925453125,14.8770321484375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i8,l1,222,4,249.52172193366744,4.495886881687702,17.890091179687502,23.456028505859376,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i8,l2,343,5,385.52230010472044,5.619858602109627,14.2996922578125,24.760733695312503,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hāloa ʻĀina,hlan,montane,hawaii,19.55214,-155.793,1566.9768,1566.9768,2022-08-20,i8,l3,288,2,323.70385548151455,2.247943440843851,15.45841384375,26.6578291796875,NA,28.0364,13.073256083851398,0.11566656338675131
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,385.8768,2022-08-14,i1,l1,154,104,173.0916449449765,116.89305892388025,21.0801387109375,21.187991078125002,216.67298996359645,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,385.8768,2022-08-14,i1,l2,177,114,198.9429945146808,128.1327761280995,18.198119242187502,19.6880560859375,216.67298996359645,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,374.2944,2022-08-14,i2,l1,259,119,291.1086755892787,133.75263473020914,18.362131421875,23.093595625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,374.2944,2022-08-14,i2,l2,279,137,313.5881099977172,153.9841256978038,16.3886671015625,20.6610673828125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,356.0064,2022-08-14,i3,l1,304,62,341.68740300826533,69.68624666615938,18.2219446171875,23.38375465625,213.0158658912216,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,356.0064,2022-08-14,i3,l2,258,93,289.98470386885674,104.52936999923907,19.111779828125,24.779879085937502,213.0158658912216,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,351.7392,2022-08-14,i4,l1,358,160,402.3818759110493,179.83547526750806,16.3410163515625,19.3425881484375,NA,28.0363,21.952325947290806,0.21465907532695921
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,351.7392,2022-08-14,i4,l3,365,156,410.2496779540028,175.33958838582038,17.434005429687502,19.6046672734375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,343.5096,2022-08-14,i5,l1,319,157,358.54697881459424,176.46356010624228,18.728021109375,19.9765133046875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,343.5096,2022-08-14,i5,l2,249,175,279.86895838505944,196.69505107383696,18.876716976562502,21.026318890625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,333.1464,2022-08-14,i6,l1,335,104,376.530526341345,116.89305892388025,20.595334875000002,23.992578078125003,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,333.1464,2022-08-14,i6,l2,270,65,303.47236451391984,73.05816182742515,19.6021145546875,25.0976925703125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,319.1256,2022-08-14,i7,l1,208,35,233.7861178477605,39.33901021476739,16.8783636484375,22.246093000000002,188.2325128221819,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,319.1256,2022-08-14,i7,l2,357,43,401.25790419062736,48.33078397814279,18.047296109375,22.353732640625,188.2325128221819,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,325.5264,2022-08-14,i8,l1,406,68,456.3325184913017,76.43007698869093,13.832332000000001,21.581960671875002,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Hawaiʻi loa ridge,hwlr,montane,oahu,21.2943,-157.72691,351.7392,325.5264,2022-08-14,i8,l2,389,53,437.224999244129,59.57050118236205,13.644281718750001,20.1079783203125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1939.1376,2022-08-18,i1,l1,310,9,348.4312333307969,10.11574548379733,14.4456226796875,18.77694821875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1939.1376,2022-08-18,i1,l2,231,14,259.6374674174648,15.735604085906957,15.0604024453125,19.4753295234375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1941.8808,2022-08-18,i2,l1,230,15,258.51349569704286,16.85957580632888,13.360504484375001,17.583552203125,147.03178031172823,NA,NA,NA
