genus,species,authority,exposition,plant_maturity,leaf_age,site,site_code,site_type,island,latitude_degree,longitude_degree,elevation_m_site,elevation_m_plant,date_sampled,plant_id,leaf_id,lower_number_of_stomata,upper_number_of_stomata,lower_stomatal_density_mm2,upper_stomatal_density_mm2,lower_gcl_um,upper_gcl_um,leaf_thickness_um,Tleaf,A,gsw
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1941.8808,2022-08-18,i2,l2,271,11,304.5963362343418,12.36368892464118,15.054233375,22.2424766484375,147.03178031172823,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1944.0144,2022-08-18,i3,l1,265,11,297.8525059118102,12.36368892464118,14.026764078125,18.765673710937502,223.90872352649941,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1944.0144,2022-08-18,i3,l2,239,5,268.62924118084015,5.619858602109627,14.4217973046875,18.910115046875,223.90872352649941,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1946.148,2022-08-18,i4,l1,225,8,252.8936370949332,8.991773763375404,13.180963265625,24.835826171875002,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1946.148,2022-08-18,i4,l2,235,9,264.1333542991525,10.11574548379733,13.7636213203125,17.900089328125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1944.9288,2022-08-18,i5,l1,223,29,250.64569365408937,32.59517989223584,15.4875573828125,20.172009015625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1944.9288,2022-08-18,i5,l2,272,11,305.7203079547637,12.36368892464118,17.00025596875,22.989572335937503,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1947.9768,2022-08-18,i6,l1,202,4,227.04228752522894,4.495886881687702,14.231619757812501,21.866163359375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1947.9768,2022-08-18,i6,l2,257,11,288.86073214843486,12.36368892464118,15.0442352265625,20.840821328125,NA,25.1442,12.936242440787495,0.1300835722021575
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1949.5008,2022-08-18,i7,l1,236,12,265.2573260195744,13.487660645063105,16.2903874296875,22.6951587734375,180.2295669967649,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1949.5008,2022-08-18,i7,l2,248,11,278.7449866646375,12.36368892464118,14.155676375,25.805008390625,180.2295669967649,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1952.8536,2022-08-18,i8,l1,182,13,204.56285311679042,14.61163236548503,16.909421726562503,23.798146,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻohe game management area,kgma,montane,hawaii,19.81685,-155.61612,1946.148,1952.8536,2022-08-18,i8,l2,221,13,248.39775021324553,14.61163236548503,15.530740875000001,27.5712770390625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,968.0448,2022-08-19,i1,l1,222,7,249.52172193366744,7.867802042953478,13.464315046875,23.2618623359375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,968.0448,2022-08-19,i1,l2,325,13,365.2908091371258,14.61163236548503,14.9923299453125,18.686326703125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,968.9592,2022-08-19,i2,l1,261,5,293.35661903012254,5.619858602109627,14.8687358125,24.4433456640625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,968.9592,2022-08-19,i2,l2,328,9,368.66272429839154,10.11574548379733,14.8374650078125,21.2250055,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,969.8736,2022-08-19,i3,l1,280,13,314.71208171813913,14.61163236548503,12.4996000859375,29.032070343750004,122.29965857174444,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,969.8736,2022-08-19,i3,l2,293,10,329.32371408362417,11.239717204219254,15.711983906250001,24.8156171484375,122.29965857174444,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,969.8736,2022-08-19,i4,l1,305,14,342.81137472868727,15.735604085906957,12.9331368203125,24.14786846875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,969.8736,2022-08-19,i4,l2,251,10,282.11690182590326,11.239717204219254,13.847222859375,25.2770210625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,969.8736,2022-08-19,i5,l1,307,4,345.0593181695311,4.495886881687702,13.095872640625,25.228306679687503,161.84484205951975,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,969.8736,2022-08-19,i5,l2,304,5,341.68740300826533,5.619858602109627,13.6547053203125,22.7759948671875,161.84484205951975,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,971.0928,2022-08-19,i6,l1,325,10,365.2908091371258,11.239717204219254,11.8626967578125,21.4285848203125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,971.0928,2022-08-19,i6,l2,256,11,287.73676042801293,12.36368892464118,11.49489253125,22.7662094453125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,971.0928,2022-08-19,i7,l1,285,8,320.33194032024875,8.991773763375404,17.3897583046875,17.8364840859375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,971.0928,2022-08-19,i7,l2,325,9,365.2908091371258,10.11574548379733,13.6334326640625,20.028205859375,NA,28.0809,27.881047437023128,0.35779414176861324
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,968.9592,2022-08-19,i8,l1,203,3,228.16625924565085,3.3719151612657763,14.7021709140625,20.94470279947917,132.53389156422384,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Koaiʻa tree sanctuary,ktrs,montane,hawaii,20.0482,-155.73703,969.8736,968.9592,2022-08-19,i8,l2,265,5,297.8525059118102,5.619858602109627,13.258395734375,23.8664312265625,132.53389156422384,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i1,l1,375,71,421.489395158222,79.8019921499567,24.5420507890625,19.8790845390625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i1,l2,390,72,438.3489709645509,80.92596387037864,14.190988984375,21.39433584375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i2,l1,377,189,423.7373385990659,212.4306551597439,15.138047640625,22.7072841875,293.36623220458137,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i2,l2,303,64,340.5634312878434,71.93419010700323,16.7277532421875,23.5745703828125,293.36623220458137,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i3,l1,379,133,425.98528203990975,149.48823881611608,20.9716481640625,22.399256125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i3,l2,333,110,374.28258290050115,123.6368892464118,17.9360401171875,25.823728328125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i4,l1,407,150,457.45649021172363,168.59575806328883,17.1476754765625,22.563906484375,309.5908867659015,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i4,l2,351,163,394.5140738680958,183.20739042877383,18.0715469375,23.09699925,309.5908867659015,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i5,l1,318,152,357.4230070941723,170.84370150413267,16.712011476562502,24.5599198203125,284.4884438602027,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i5,l2,257,138,288.86073214843486,155.1080974182257,20.9550554921875,23.2274006328125,284.4884438602027,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i6,l1,335,102,376.530526341345,114.64511548303639,15.4390557265625,25.2585138515625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i6,l2,353,108,396.7620173089397,121.38894580556794,16.1704096484375,20.6891472890625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i7,l1,330,94,370.9106677392354,105.65334171966099,16.262945703125,25.130877914062502,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i7,l2,315,95,354.0510919329065,106.77731344008292,18.100052296875,24.252955390625,NA,27.8488,34.76687482645763,0.3355374491403331
Sida,fallax,Walp.,natural environment,mature,mature,Kaʻena Point,knpn,coastal,oahu,21.5736,-158.27794,4.2672,4.2672,2022-10-09,i8,l2,223,36,250.64569365408937,40.46298193518932,16.677975226562502,20.8210377578125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,363.9312,2022-09-18,i1,l1,376,168,422.61336687864394,188.82724903088348,19.1898504765625,21.9008377890625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,363.9312,2022-09-18,i1,l2,398,173,447.34074472792634,194.4471076329931,17.842227703125,22.436696,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,362.1024,2022-09-18,i2,l1,277,86,311.3401665568733,96.66156795628558,21.113962234375002,22.8172638203125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,362.1024,2022-09-18,i2,l2,280,94,314.71208171813913,105.65334171966099,17.756286171875,22.5598646796875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,359.664,2022-09-18,i3,l1,273,107,306.84427967518565,120.26497408514602,18.3540478125,21.4711301328125,134.18365811183267,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,359.664,2022-09-18,i3,l2,306,136,343.9353464491092,152.86015397738186,16.9166544296875,20.848904937500002,134.18365811183267,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,356.616,2022-09-18,i4,l1,239,103,268.62924118084015,115.76908720345833,16.772638546875,19.143263359375,NA,28.0415,13.963441996851925,0.19429634047755315
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,356.616,2022-09-18,i4,l2,184,73,206.8107965576343,82.04993559080056,18.5976197265625,16.3057037421875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,353.8728,2022-09-18,i5,l1,296,193,332.6956292448899,216.92654204143162,21.0001535234375,19.5178748359375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,353.8728,2022-09-18,i5,l2,220,149,247.2737784928236,167.4717863428669,16.7707240078125,20.29241225,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,352.044,2022-09-18,i6,l1,507,140,569.8536622539162,157.35604085906957,14.6502656328125,22.0267719140625,279.0057713778756,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,352.044,2022-09-18,i6,l2,438,222,492.2996135448033,249.52172193366744,15.815794468750001,20.249441484374998,279.0057713778756,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,341.9856,2022-09-18,i7,l1,322,204,361.91889397586,229.29023096607278,19.664017984375,18.254491781250003,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,341.9856,2022-09-18,i7,l2,377,122,423.7373385990659,137.1245498914749,16.4575905078125,20.755730703125003,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,342.9,2022-09-18,i8,l1,261,123,293.35661903012254,138.24852161189682,16.25656390625,21.2792507734375,166.8144938971055,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Waʻahila ridge,whlr,montane,oahu,21.31423,-157.79306,356.616,342.9,2022-09-18,i8,l2,182,46,204.56285311679042,51.70269913940857,16.9868541953125,19.867384578125,166.8144938971055,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i1,l1,420,105,472.06812257720867,118.01703064430217,14.3809538046875,19.8735536484375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i1,l2,425,72,477.6879811793183,80.92596387037864,16.3320818359375,22.9040562578125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i2,l1,322,74,361.91889397586,83.17390731122248,16.7226478046875,21.7727763984375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i2,l2,329,47,369.7866960188135,52.82667085983049,15.47202834375,24.9424021796875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i3,l1,312,39,350.67917677164075,43.834897096455094,17.866053078125,22.8162001875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i3,l2,289,58,324.82782720193643,65.19035978447168,15.3446051328125,26.18323621875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i4,l1,478,123,537.2584823616803,138.24852161189682,14.373082921875001,21.992948390625,273.81595245674885,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i4,l2,395,94,443.96882956666053,105.65334171966099,18.9575530703125,24.028103414062503,273.81595245674885,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i5,l1,297,75,333.81960096531185,84.29787903164441,16.037881,22.1156916171875,387.049590070605,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i5,l2,419,72,470.94415085678673,80.92596387037864,16.4380196640625,22.8695945546875,387.049590070605,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i6,l1,387,76,434.97705580328517,85.42185075206633,15.2935507578125,23.95896728125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i6,l2,412,42,463.0763488138333,47.20681225772087,15.844299828125001,22.158024203125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i7,l1,372,61,418.11747999695626,68.56227494573746,15.7264493125,23.872600296875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i7,l2,356,66,400.1339324702055,74.18213354784707,15.645187765625,19.0681708828125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i8,l1,416,70,467.572235695521,78.67802042953478,16.2642220625,21.7780945625,277.39543133553667,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,3.9624,2022-09-25,i8,l2,382,61,429.3571972011755,68.56227494573746,16.017884703125,21.901901421875,277.39543133553667,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,NA,2022-09-25,i9,l1,383,60,430.48116892159743,67.43830322531552,19.43214603125,22.2888510390625,278.6802997444835,28.0195,20.87829128010184,0.155187802840059
Sida,fallax,Walp.,natural environment,mature,mature,Kahuku Point,khkp,coastal,oahu,21.70964,-157.98215,3.9624,NA,2022-09-25,i9,l2,339,99,381.0264132230327,111.27320032177062,16.068088171875,25.341264484375,278.6802997444835,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,299.6184,2022-11-20,i1,l1,242,43,272.00115634210596,48.33078397814279,16.281665640625,20.5766149375,152.1416795747369,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,299.6184,2022-11-20,i1,l2,311,103,349.5552050512188,115.76908720345833,18.042616125000002,19.601263648437502,152.1416795747369,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,298.0944,2022-11-20,i2,l1,187,119,210.18271171890007,133.75263473020914,17.1051301640625,22.080591734375002,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,298.0944,2022-11-20,i2,l2,246,186,276.49704322379364,209.05873999847813,17.4722962109375,22.10909709375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,252.3744,2022-11-20,i3,l1,286,187,321.4559120406707,210.18271171890007,15.127198585937501,17.9966671875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,252.3744,2022-11-20,i3,l2,255,123,286.612788707591,138.24852161189682,17.642052007812502,22.2667274765625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,248.412,2022-11-20,i4,l1,287,121,322.5798837610926,136.00057817105298,15.6100878828125,19.595307304687502,180.23434879419318,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,248.412,2022-11-20,i4,l2,247,125,277.6210149442156,140.4964650527407,16.864536421875002,20.971860890625,180.23434879419318,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,245.9736,2022-11-20,i5,l1,483,181,542.87834096379,203.43888139636852,13.5823782890625,19.841006484375,NA,28.066,24.59845693111995,0.4363739933011213
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,245.9736,2022-11-20,i5,l2,360,162,404.62981935189316,182.08341870835193,14.980417257812501,21.8387216328125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,310.896,2022-11-20,i6,l1,249,93,279.86895838505944,104.52936999923907,15.122305875,22.1797223125,153.6988379776327,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,310.896,2022-11-20,i6,l2,245,94,275.3730715033717,105.65334171966099,15.5615862265625,18.3734059296875,153.6988379776327,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,335.28,2022-11-20,i7,l1,99,44,111.27320032177062,49.45475569856472,21.332006960937502,21.216496437500002,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,335.28,2022-11-20,i7,l2,177,83,198.9429945146808,93.2896527950198,16.578844648437503,21.540478992187502,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,335.28,2022-11-20,i8,l1,280,128,314.71208171813913,143.86838021400646,16.555232,18.675690375000002,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Mauʻumae Ridge,mmrd,montane,oahu,21.30476,-157.77919,248.412,335.28,2022-11-20,i8,l2,299,177,336.0675444061557,198.9429945146808,16.6473426015625,22.65027346875,NA,NA,NA,NA
