site_code,individual,leaf_number,surface,number_of_stomata,quality
mkpb,i1,l1,lower,353,A
mkpb,i1,l1,upper,0,A
mkpb,i1,l2,lower,252,A
mkpb,i1,l2,upper,0,B
mkpb,i1,l3,lower,472,A
mkpb,i1,l3,upper,51,A
mkpb,i2,l2,lower,283,A
mkpb,i2,l2,upper,0,A
mkpb,i3,l1,lower,274,A
mkpb,i3,l1,upper,4,A
mkpb,i3,l3,lower,237,A
mkpb,i3,l3,upper,10,A
mkpb,i4,l1,lower,340,A
mkpb,i4,l1,upper,4,A
mkpb,i4,l2,lower,346,A
mkpb,i4,l2,upper,61,A
mkpb,i5,l1,lower,360,B
mkpb,i5,l1,upper,23,A
mkpb,i5,l2,lower,287,A
mkpb,i5,l2,upper,0,B
mkpb,i6,l1,lower,480,A
mkpb,i6,l1,upper,19,A
mkpb,i6,l2,lower,499,A
mkpb,i6,l2,upper,13,A
mkpb,i7,l1,lower,442,A
mkpb,i7,l1,upper,0,A
mkpb,i7,l2,lower,483,A
mkpb,i7,l2,upper,4,A
mkpb,i8,l1,lower,389,A
mkpb,i8,l1,upper,95,A
mkpb,i8,l2,lower,391,A
mkpb,i8,l2,upper,63,A
pkpp,i1,l1,lower,114,C
pkpp,i1,l1,upper,42,B
pkpp,i1,l2,lower,175,A
pkpp,i1,l2,upper,62,A
pkpp,i2,l1,lower,440,A
pkpp,i2,l1,upper,NA,C
pkpp,i2,l2,lower,357,A
pkpp,i2,l2,upper,33,B
pkpp,i3,l1,lower,310,A
pkpp,i3,l1,upper,10,A
pkpp,i4,l1,lower,279,A
pkpp,i4,l1,upper,58,A
pkpp,i4,l2,lower,367,A
pkpp,i4,l2,upper,54,A
pkpp,i5,l1,lower,268,A
pkpp,i5,l1,upper,36,A
pkpp,i7,l1,lower,302,A
pkpp,i7,l1,upper,70,A
pkpp,i7,l2,lower,262,A
pkpp,i7,l2,upper,42,A
pkpp,i8,l1,lower,298,A
pkpp,i8,l1,upper,61,A
pkpp,i8,l2,lower,358,A
pkpp,i8,l2,upper,80,A
knhp,i1,l1,lower,314,A
knhp,i1,l1,upper,78,A
knhp,i1,l2,lower,463,A
knhp,i1,l2,upper,142,A
knhp,i2,l1,lower,289,A
knhp,i2,l1,upper,93,A
knhp,i2,l2,lower,462,A
knhp,i2,l2,upper,109,A
knhp,i3,l1,lower,393,A
knhp,i3,l1,upper,41,C
knhp,i3,l2,lower,435,B
knhp,i3,l2,upper,44,A
knhp,i4,l1,lower,360,A
knhp,i4,l1,upper,128,A
knhp,i4,l2,lower,461,A
knhp,i4,l2,upper,129,A
knhp,i5,l1,lower,414,A
knhp,i5,l1,upper,76,A
knhp,i5,l2,lower,527,A
knhp,i5,l2,upper,113,A
knhp,i6,l1,lower,403,A
knhp,i6,l1,upper,99,A
knhp,i6,l2,lower,427,A
knhp,i6,l2,upper,45,A
knhp,i7,l1,lower,260,A
knhp,i7,l1,upper,59,A
knhp,i7,l2,lower,274,A
knhp,i7,l2,upper,57,A
knhp,i8,l1,lower,71,C
knhp,i8,l1,upper,14,B
knhp,i8,l2,lower,326,A
knhp,i8,l2,upper,87,A
klkb,i1,l1,lower,428,A
klkb,i1,l1,upper,97,A
klkb,i1,l2,lower,377,A
klkb,i1,l2,upper,168,A
klkb,i2,l1,lower,462,A
klkb,i2,l1,upper,117,A
klkb,i2,l2,lower,355,A
klkb,i2,l2,upper,144,A
klkb,i3,l1,lower,380,A
klkb,i3,l1,upper,83,A
klkb,i3,l2,lower,370,A
klkb,i3,l2,upper,118,A
klkb,i4,l1,lower,287,A
klkb,i4,l1,upper,94,A
klkb,i4,l2,lower,516,A
klkb,i4,l2,upper,60,A
klkb,i5,l1,lower,257,A
klkb,i5,l1,upper,64,B
klkb,i5,l2,lower,351,A
klkb,i5,l2,upper,91,A
klkb,i6,l1,lower,267,B
klkb,i6,l1,upper,90,B
klkb,i6,l2,lower,286,A
klkb,i6,l2,upper,118,A
klkb,i7,l2,lower,259,A
klkb,i7,l2,upper,92,A
klkb,i8,l1,lower,422,A
klkb,i8,l1,upper,62,A
hlan,i1,l1,lower,320,A
hlan,i1,l1,upper,13,A
hlan,i1,l2,lower,290,A
hlan,i1,l2,upper,8,A
hlan,i2,l1,lower,203,A
hlan,i2,l1,upper,11,A
hlan,i2,l2,lower,355,A
hlan,i2,l2,upper,9,A
hlan,i3,l1,lower,251,A
hlan,i3,l1,upper,14,A
hlan,i3,l2,lower,302,A
hlan,i3,l2,upper,9,A
hlan,i4,l1,lower,157,B
hlan,i4,l1,upper,7,A
hlan,i4,l2,lower,196,A
hlan,i4,l2,upper,0,B
hlan,i5,l1,lower,242,A
hlan,i5,l1,upper,8,A
hlan,i5,l2,lower,108,A
hlan,i5,l2,upper,6,A
hlan,i6,l1,lower,0,B
hlan,i6,l1,upper,3,A
hlan,i6,l2,lower,465,A
hlan,i6,l2,upper,4,A
hlan,i7,l1,lower,284,A
hlan,i7,l1,upper,7,A
hlan,i7,l2,lower,177,B
hlan,i7,l2,upper,1,A
hlan,i8,l1,lower,222,A
hlan,i8,l1,upper,4,A
hlan,i8,l2,lower,343,B
hlan,i8,l2,upper,5,A
hlan,i8,l3,lower,288,A
hlan,i8,l3,upper,2,A
hwlr,i1,l1,lower,154,A
hwlr,i1,l1,upper,104,A
hwlr,i1,l2,lower,177,A
hwlr,i1,l2,upper,114,A
hwlr,i2,l1,lower,259,A
hwlr,i2,l1,upper,119,A
hwlr,i2,l2,lower,279,A
hwlr,i2,l2,upper,137,A
hwlr,i3,l1,lower,304,A
hwlr,i3,l1,upper,62,A
hwlr,i3,l2,lower,258,A
hwlr,i3,l2,upper,93,A
hwlr,i4,l1,lower,358,A
hwlr,i4,l1,upper,160,A
hwlr,i4,l3,lower,365,A
hwlr,i4,l3,upper,156,A
hwlr,i5,l1,lower,319,A
hwlr,i5,l1,upper,157,A
hwlr,i5,l2,lower,249,A
hwlr,i5,l2,upper,175,A
hwlr,i6,l1,lower,335,A
hwlr,i6,l1,upper,104,A
hwlr,i6,l2,lower,270,A
hwlr,i6,l2,upper,65,A
hwlr,i7,l1,lower,208,A
hwlr,i7,l1,upper,35,A
hwlr,i7,l2,lower,357,A
hwlr,i7,l2,upper,43,A
hwlr,i8,l1,lower,406,A
hwlr,i8,l1,upper,68,A
hwlr,i8,l2,lower,389,A
hwlr,i8,l2,upper,53,A
kgma,i1,l1,lower,310,A
kgma,i1,l1,upper,9,A
kgma,i1,l2,lower,231,A
kgma,i1,l2,upper,14,A
kgma,i2,l1,lower,230,B
kgma,i2,l1,upper,15,A
kgma,i2,l2,lower,271,A
kgma,i2,l2,upper,11,A
kgma,i3,l1,lower,265,A
kgma,i3,l1,upper,11,A
kgma,i3,l2,lower,239,A
kgma,i3,l2,upper,5,A
kgma,i4,l1,lower,225,A
kgma,i4,l1,upper,8,A
kgma,i4,l2,lower,235,A
kgma,i4,l2,upper,9,A
kgma,i5,l1,lower,223,A
kgma,i5,l1,upper,29,A
kgma,i5,l2,lower,272,A
kgma,i5,l2,upper,11,A
kgma,i6,l1,lower,202,A
kgma,i6,l1,upper,4,A
kgma,i6,l2,lower,257,A
kgma,i6,l2,upper,11,A
kgma,i7,l1,lower,236,A
kgma,i7,l1,upper,12,A
kgma,i7,l2,lower,248,A
kgma,i7,l2,upper,11,A
kgma,i8,l1,lower,182,A
kgma,i8,l1,upper,13,A
kgma,i8,l2,lower,221,A
kgma,i8,l2,upper,13,A
ktrs,i1,l1,lower,222,B
ktrs,i1,l1,upper,7,A
ktrs,i1,l2,lower,325,A
ktrs,i1,l2,upper,13,A
ktrs,i2,l1,lower,261,A
ktrs,i2,l1,upper,5,A
ktrs,i2,l2,lower,328,A
ktrs,i2,l2,upper,9,A
ktrs,i3,l1,lower,280,A
ktrs,i3,l1,upper,13,A
ktrs,i3,l2,lower,293,A
ktrs,i3,l2,upper,10,A
ktrs,i4,l1,lower,305,B
ktrs,i4,l1,upper,14,A
ktrs,i4,l2,lower,251,A
ktrs,i4,l2,upper,10,A
ktrs,i5,l1,lower,307,A
ktrs,i5,l1,upper,4,B
ktrs,i5,l2,lower,304,A
ktrs,i5,l2,upper,5,B
ktrs,i6,l1,lower,325,A
ktrs,i6,l1,upper,10,A
ktrs,i6,l2,lower,256,A
ktrs,i6,l2,upper,11,A
ktrs,i7,l1,lower,285,A
ktrs,i7,l1,upper,8,A
ktrs,i7,l2,lower,325,A
ktrs,i7,l2,upper,9,A
ktrs,i8,l1,lower,203,B
ktrs,i8,l1,upper,3,B
ktrs,i8,l2,lower,265,A
ktrs,i8,l2,upper,5,A
knpn,i1,l1,lower,375,B
knpn,i1,l1,upper,71,A
knpn,i1,l2,lower,390,A
knpn,i1,l2,upper,72,A
knpn,i2,l1,lower,377,A
knpn,i2,l1,upper,189,A
knpn,i2,l2,lower,303,A
knpn,i2,l2,upper,64,A
knpn,i3,l1,lower,379,A
knpn,i3,l1,upper,133,A
knpn,i3,l2,lower,333,A
knpn,i3,l2,upper,110,B
knpn,i4,l1,lower,407,A
knpn,i4,l1,upper,150,A
knpn,i4,l2,lower,351,A
knpn,i4,l2,upper,163,A
knpn,i5,l1,lower,318,A
knpn,i5,l1,upper,152,A
knpn,i5,l2,lower,257,B
knpn,i5,l2,upper,138,A
knpn,i6,l1,lower,335,A
knpn,i6,l1,upper,102,A
knpn,i6,l2,lower,353,A
knpn,i6,l2,upper,108,A
knpn,i7,l1,lower,330,A
knpn,i7,l1,upper,94,A
knpn,i7,l2,lower,315,A
knpn,i7,l2,upper,95,A
knpn,i8,l2,lower,223,B
knpn,i8,l2,upper,36,B
nnpl,i1,l1,lower,144,A
nnpl,i1,l1,upper,29,A
nnpl,i1,l2,lower,192,A
nnpl,i1,l2,upper,32,A
whlr,i1,l1,lower,376,A
whlr,i1,l1,upper,168,A
whlr,i1,l2,lower,398,A
whlr,i1,l2,upper,173,A
whlr,i2,l1,lower,277,A
whlr,i2,l1,upper,86,A
whlr,i2,l2,lower,280,A
whlr,i2,l2,upper,94,A
whlr,i3,l1,lower,273,A
whlr,i3,l1,upper,107,A
whlr,i3,l2,lower,306,A
whlr,i3,l2,upper,136,A
whlr,i4,l1,lower,239,A
whlr,i4,l1,upper,103,A
whlr,i4,l2,lower,184,A
whlr,i4,l2,upper,73,A
whlr,i5,l1,lower,296,A
whlr,i5,l1,upper,193,A
whlr,i5,l2,lower,220,A
whlr,i5,l2,upper,149,A
whlr,i6,l1,lower,507,A
whlr,i6,l1,upper,140,A
whlr,i6,l2,lower,438,A
whlr,i6,l2,upper,222,A
whlr,i7,l1,lower,322,A
whlr,i7,l1,upper,204,A
whlr,i7,l2,lower,377,A
whlr,i7,l2,upper,122,B
whlr,i8,l1,lower,261,A
whlr,i8,l1,upper,123,A
whlr,i8,l2,lower,182,C
whlr,i8,l2,upper,46,A
khkp,i1,l1,lower,420,A
khkp,i1,l1,upper,105,A
khkp,i1,l2,lower,425,A
khkp,i1,l2,upper,72,A
khkp,i2,l1,lower,322,A
khkp,i2,l1,upper,74,A
khkp,i2,l2,lower,329,A
khkp,i2,l2,upper,47,A
khkp,i3,l1,lower,312,B
khkp,i3,l1,upper,39,A
khkp,i3,l2,lower,289,B
khkp,i3,l2,upper,58,A
khkp,i4,l1,lower,478,A
khkp,i4,l1,upper,123,A
khkp,i4,l2,lower,395,A
khkp,i4,l2,upper,94,A
khkp,i5,l1,lower,297,A
khkp,i5,l1,upper,75,A
khkp,i5,l2,lower,419,A
khkp,i5,l2,upper,72,A
khkp,i6,l1,lower,387,A
khkp,i6,l1,upper,76,A
khkp,i6,l2,lower,412,A
khkp,i6,l2,upper,42,A
khkp,i7,l1,lower,372,A
khkp,i7,l1,upper,61,A
khkp,i7,l2,lower,356,A
khkp,i7,l2,upper,66,A
khkp,i8,l1,lower,416,A
khkp,i8,l1,upper,70,A
khkp,i8,l2,lower,382,A
khkp,i8,l2,upper,61,A
khkp,i9,l1,lower,383,A
khkp,i9,l1,upper,60,A
khkp,i9,l2,lower,339,B
khkp,i9,l2,upper,99,A
mmrd,i1,l1,lower,242,A
mmrd,i1,l1,upper,43,A
mmrd,i1,l2,lower,311,A
mmrd,i1,l2,upper,103,A
mmrd,i2,l1,lower,187,A
mmrd,i2,l1,upper,119,A
mmrd,i2,l2,lower,246,A
mmrd,i2,l2,upper,186,A
mmrd,i3,l1,lower,286,A
mmrd,i3,l1,upper,187,A
mmrd,i3,l2,lower,255,A
mmrd,i3,l2,upper,123,A
mmrd,i4,l1,lower,287,A
mmrd,i4,l1,upper,121,A
mmrd,i4,l2,lower,247,A
mmrd,i4,l2,upper,125,A
mmrd,i5,l1,lower,483,A
mmrd,i5,l1,upper,181,A
mmrd,i5,l2,lower,360,A
mmrd,i5,l2,upper,162,A
mmrd,i6,l1,lower,249,A
mmrd,i6,l1,upper,93,A
mmrd,i6,l2,lower,245,A
mmrd,i6,l2,upper,94,A
mmrd,i7,l1,lower,99,A
mmrd,i7,l1,upper,44,A
mmrd,i7,l2,lower,177,A
mmrd,i7,l2,upper,83,A
mmrd,i8,l1,lower,280,A
mmrd,i8,l1,upper,128,A
mmrd,i8,l2,lower,299,A
mmrd,i8,l2,upper,177,A
